! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	愛園愛美
ふみ	フミ
ふみのたまき	文野環
ふれんいーるすたりお	フレン・E・ルスタリオ
ふわみなと	不破湊
べるもんどばんでらす	ベルモンド・バンデラス
ほしかわさら	星川サラ
ほんまひまわり	本間ひまわり
まいもとけいすけ	舞元啓介
まかいのりりむ	魔界ノりりむ
ましろ	ましろ
まちたちま	町田ちま
まつかいまお	魔使マオ
まゆずみかい	黛灰
めりっさきんれんか	メリッサ・キンレンカ
もいら	モイラ
もののべありす	物述有栖
もりなかかざき	森中花咲
やぐるまりね	矢車りね
やしろきずく	社築
やまがみかるた	山神カルタ
ゆうきちひろ	勇気ちひろ
ゆうひりり	夕陽リリ
ゆきしろまひろ	雪城眞尋
ゆづきろあ	夢月ロア
ゆめおいかける	夢追翔
よるみれな	夜見れな
らとなぷてぃ	ラトナ・プティ
りぜへるえすた	リゼ・ヘルエスタ
りゅーしぇん	緑仙
りんどうみこと	竜胆尊
るいすきゃみー	ルイス・キャミー
れゔぃえりふぁ	レヴィ・エリファ
わらべだめいじー	童田明治

!	にじさんじ (脱退)
! --------------------------------------------------------------------------------
てんかいつかさ	天開司
ふぇありす	ふぇありす
かみなりぽあろ	神成ポアロ
くろはくろと	黒羽黒兎

! にじさんじ (引退)
! --------------------------------------------------------------------------------
あちきたちなみ	遠北千南
うみやしゃのかみ	海夜叉神
くどうちとせ	久遠千歳
せつな	雪汝
つきみしずく	月見しずく
なかおあずま	名伽尾アズマ
なるとこがね	鳴門こがね
はっさくゆず	八朔ゆず
やみよのもるる	闇夜乃モルル

! 契約解除
! --------------------------------------------------------------------------------
しんどうらいと	真堂雷斗

! 未デビュー
! --------------------------------------------------------------------------------
ゆーどりっく	ユードリック
かさはらあお	笠原蒼
ゔぉるふがんぐごせい	ヴォルフガング5世
ぷろふぇっさーえばんす	プロフェッサー・エバンス
さいるすと	サイルスト
にこ	弐伍
たかなしみみ	小鳥遊ミミ
うみほしすてら	海星ステラ

! 別名義など
! --------------------------------------------------------------------------------
はなぶせしほ	花伏しほ
かどなしえりふぁ	角無絵里華
つきのみう	月野美兎
そらほしきらと	空星キラト
るこ	Ruco
よみなみさくや	黄泉波咲夜
でびっち	でびっち
しぶやおわり	渋谷オワリ
のらねこ	野良猫
ゆがみん	ゆがみん
たずみりく	田角リク
けんもちりきや	剣持力也
けんもちとうこ	剣持刀子

! NIJISANJI ID
! --------------------------------------------------------------------------------
たからじまん	Taka Radjiman
ぜあこるねりあ	ZEA Cornelia
はなまきあ	Hana Macchia
らいがりれい	Rai Galilei
あみしあみしぇら	Amicia Michella
みゆおったゔぃあ	Miyu Ottavia
りくさでぃれんどら	Riksa Dhirendra
らいらあるすとろえめりあ	Layla Alstroemeria
ならはらまうん	Nara Haramaung
あずらせしりあ	Azura Cecillia
えとなくりむそん	Etna Crimson
ぼんにふぃえるぷらなじゃ	Bonnivier Pranaja
しすかれおんたいん	Siska Leontyne

! NIJISANJI KR
! --------------------------------------------------------------------------------
あきられい	아키라 레이
いしう	이시우
いろは	이로하
うぃふぃ	위피
おじゆ	오지유
がおん	가온
しんぎる	신기루
しんゆや	신유야
そなぎ	소나기
ちぇあら	채아라
ぬんぼら	눈보라
はんちほ	한치호
みんすぅーは	민수하
やんなり	양나리
りゅはり	류하리

! NIJISANJI KR (引退・脱退)
! --------------------------------------------------------------------------------
ゆるり	유루리
かえん	카엔
ろーろー	로로
はくれん	백연

! VirtuaReal Project
! --------------------------------------------------------------------------------
あいね	艾因
あざ	阿萨
いちご	一果
かおす	卡欧斯
かる	花留
きよら	清良
こういち	光一
さまえる	萨麦尔
さや	沙夜
しき	紫纪
せいや	星也
たびびと	度人
ちはる	千春
ななみ	七海
にゃつき	喵月
ぷらす	有加
ほしみ	星弥
まひる	真绯瑠
みき	弥希
むり	无理
やぎみちゆき	八木迪之
ゆきえ	雪絵
るき	琉绮
ろい	罗伊
わくひめ	惑姫

! VirtuaReal Star
! --------------------------------------------------------------------------------
りんいぇんようさ	泠鸢Yousa

! 元 VirtuaReal Project
! --------------------------------------------------------------------------------
はのん	羽音
みもい	御水
ぱっくす	帕克丝

! NIJISANJI EN
! --------------------------------------------------------------------------------
あでぃあ	Aadya
びはん	Vihaan
ぬーる	Noor

! ユメノグラフィア
! --------------------------------------------------------------------------------
あおみかやな	蒼海カヤナ
あさぎりいづる	朝霧いづる
いちのもりこひな	苺ノ森こひな
かたくらひとみ	片倉一実
くれまはくぼ	暮間珀暮
くれやぺい	紅夜ぺい
こはなてくと	小花てくと
ころぼしまう	ころぼしまう
しのみやとうか	四ノ宮透華
はえとりかづら	蝿取かづら
はとおかここ	鳩岡小恋
ひじりぐれいる	聖グレイル
ひめるち	雛芽るち
ふでそめしき	筆染四季
ほうしょうてあ	宝生てあ
みかげみゆ	観影みゆ
みさごゆきまち	雎雪待
みなみあやね	南絢音
みーてぃあ	ミーティア
りいか	りいか
りくどうかろ	六道カロ
ろっどくろうりー	ロッド・クロウリー

! SLEE
! --------------------------------------------------------------------------------
ももはらみのり	ももはらみのり
ひくらかの	氷儚かの
ひめなぎさ	姫なぎさ
あかづえまりん	赤杖まりん
