! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	🌈愛園愛美
ながおけい	🌈長尾景
ならか	🌈奈羅花
なるせなる	🌈成瀬鳴
にしぞのちぐさ	🌈西園チグサ
にゅいそしえーる	🌈ニュイ・ソシエール
はかせふゆき	🌈葉加瀬冬雪
はなばたけちゃいか	🌈花畑チャイカ
はやせそう	🌈早瀬走
はやままりん	🌈葉山舞鈴
はるさきえある	🌈春崎エアル
ひぐちかえで	🌈樋口楓
ふしみがく	🌈伏見ガク
ふみ	🌈フミ
ふみのたまき	🌈文野環
ふれんいーるすたりお	🌈フレン・Ｅ・ルスタリオ
ふわみなと	🌈不破湊
べるもんどばんでらす	🌈ベルモンド・バンデラス
ほしかわさら	🌈星川サラ
そらほしきらめ	🌈空星きらめ
ほんまひまわり	🌈本間ひまわり
まいもとけいすけ	🌈舞元啓介
まかいのりりむ	🌈魔界ノりりむ
ましろ	🌈ましろ
まちたちま	🌈町田ちま
まつかいまお	🌈魔使マオ
まゆずみかい	🌈黛灰
めりっさきんれんか	🌈メリッサ・キンレンカ
もいら	🌈モイラ
もののべありす	🌈物述有栖
もりなかかざき	🌈森中花咲
やぐるまりね	🌈矢車りね
やしろきずく	🌈社築
やまがみかるた	🌈山神カルタ
ゆうきちひろ	🌈勇気ちひろ
ゆうひりり	🌈夕陽リリ
ゆきしろましろ	🌈雪城眞尋
ゆづきろあ	🌈夢月ロア
ゆめおいかける	🌈夢追翔
よるみれな	🌈夜見れな
らとなぷてぃ	🌈ラトナ・プティ
りぜへるえすた	🌈リゼ・ヘルエスタ
りゅーしぇん	🌈緑仙
りんどうみこと	🌈竜胆尊
るいすきゃみー	🌈ルイス・キャミー
れゔぃえりふぁ	🌈レヴィ・エリファ
わらべだめいじー	🌈童田明治

!	にじさんじ (脱退)
! --------------------------------------------------------------------------------
くろはくろと	🌈😥黒羽黒兎
かみなりぽあろ	🌈😥神成ポアロ
てんかいつかさ	👤天開司
ふぇありす	👤ふぇありす

! にじさんじ (引退)
! --------------------------------------------------------------------------------
あちきたちなみ	🌈😥遠北千南
うみやしゃのかみ	🌈😥海夜叉神
くどうちとせ	🌈😥久遠千歳
せつな	🌈😥雪汝
つきみしずく	🌈😥月見しずく
なかおあずま	🌈😥名伽尾アズマ
なるとこがね	🌈😥鳴門こがね
はっさくゆず	🌈😥八朔ゆず
やみよのもるる	🌈😥闇夜乃モルル

! 契約解除
! --------------------------------------------------------------------------------
しんどうらいと	👤真堂雷斗

! 未デビュー
! --------------------------------------------------------------------------------
ゆーどりっく	🌈🌒ユードリック
かさはらあお	🌈🌒笠原蒼
ゔぉるふがんぐごせい	🌈🌒ヴォルフガング5世
ぷろふぇっさーえばんす	🌈🌒Ph.エバンス
さいるすと	🌈🌒サイルスト
にこ	🌈🌒弐伍
たかなしみみ	🌈🌒小鳥遊ミミ
うみほしすてら	🌈🌒海星ステラ

! 別名義・その他
! --------------------------------------------------------------------------------
たずみりく	🌈田角陸
ゆがみん	🌈ゆがみん
はなぶせしほ	🌈❜ 花伏しほ	// 黒井しば
かどなしえりふぁ	🌈❜ 角無絵里華	// レヴィ・エリファ
つきのみう	🌈❜ 月野美兎	// 月ノ美兎
そらほしきらと	🌈❜ 空星キラト	// 星空きらめ
るこ	🌈❜ Ruco	// 鈴木勝
よみなみさくや	🌈❜ 黄泉波咲夜	// 海夜叉神
りつめいかんきりこ	🌈❜ 鹿鳴館キリコ

! NIJISANJI ID
! --------------------------------------------------------------------------------
たからでぃまん	🌈🇮🇩 Taka Radjiman
ぜあこるねりあ	🌈🇮🇩 ZEA Cornelia
はなまきあ	🌈🇮🇩 Hana Macchia
らいがりれい	🌈🇮🇩 Rai Galilei
あみしあみしぇら	🌈🇮🇩 Amicia Michella
みゆおったゔぃあ	🌈🇮🇩 Miyu Ottavia
りくさでぃれんどら	🌈🇮🇩 Riksa Dhirendra
らいらあるすとろめりあ	🌈🇮🇩 Layla Alstroemeria
ならはらまうん	🌈🇮🇩 Nara Haramaung
あずらせしりあ	🌈🇮🇩 Azura Cecillia
えとなくりむそん	🌈🇮🇩 Etna Crimsona
ぼんにふぃえるぷらなじゃ	🌈🇮🇩 Bonnivier Pranaja
しすかれおんたいん	🌈🇮🇩 Siska Leontyne

! NIJISANJI KR
! --------------------------------------------------------------------------------
みんすぅーは	🌈🇰🇷 Min Suha
しんゆや	🌈🇰🇷 Shin Yuya
ゆや	🌈🇰🇷 Shin Yuya
うぃふぃ	🌈🇰🇷 Wiffy
はんちほ	🌈🇰🇷 Han Chiho
ちほ	🌈🇰🇷 Han Chiho
がおん	🌈🇰🇷 Gaon
ちぇあら	🌈🇰🇷 Chae Ara
そなぎ	🌈🇰🇷 So Nagi
なぎ	🌈🇰🇷 So Nagi
いしう	🌈🇰🇷 Lee Siu
あきられい	🌈🇰🇷 Akira Ray
れい	🌈🇰🇷 Akira Ray
いろは	🌈🇰🇷 Lee Roha
ぬんぼら	🌈🇰🇷 Bora Nun
ぼら	🌈🇰🇷 Bora Nun

! VirtuaReal Project
! --------------------------------------------------------------------------------
あいね	🌈🇨🇳 艾因(Eine)
るき	🌈🇨🇳 琉绮(Ruki)
ななみ	🌈🇨🇳 七海(Nanami)
いちご	🌈🇨🇳 一果(Ichigo)
こういち	🌈🇨🇳 光一(Kouichi)
むり	🌈🇨🇳 无理(Muri)
ぷらす	🌈🇨🇳 有加(Plus)
わくひめ	🌈🇨🇳 惑姫(Waku)
にゃつき	🌈🇨🇳 喵月(Nyatsuki)
みき	🌈🇨🇳 弥希(Miki)
ほしみ	🌈🇨🇳 星弥(Hoshimi)
まひる	🌈🇨🇳 真绯瑠(Mahiru)
あざ	🌈🇨🇳 阿萨(Aza)
やぎみちゆき	🌈🇨🇳 八木迪之(Yagi)
たびびと	🌈🇨🇳 度人(Tabibito)
ろい	🌈🇨🇳 罗伊(Roi)
せいや	🌈🇨🇳 星也(Seiya)
さや	🌈🇨🇳 沙夜(Saya)
ゆきえ	🌈🇨🇳 雪絵(Yukie)
さまえる	🌈🇨🇳 萨麦尔(Samael)
かる	🌈🇨🇳 花留(Karu)
しき	🌈🇨🇳 紫纪(Shiki)
かおす	🌈🇨🇳 卡欧斯(Chaos)
きよら	🌈🇨🇳 清良(Kiyora)
ちはる	🌈🇨🇳 千春(Chiharu)

! NIJISANJI EN
! --------------------------------------------------------------------------------
あでぃあ	🌈🇮🇳 Aadya(アディア)
びはん	🌈🇮🇳 Vihaan(ビハン)
ぬーる	🌈🇮🇳 Noor(ヌール)

! ユメノグラフィア
! --------------------------------------------------------------------------------
あおみかやな	💭蒼海カヤナ
あさぎりいづる	💭朝霧いづる
いちのもりこひな	💭苺ノ森こひな
かたくらひとみ	💭片倉一実
くれまはくぼ	💭暮間珀暮
くれやぺい	💭紅夜ぺい
こはなてくと	💭小花てくと
ころぼしまう	💭ころぼしまう
しのみやとうか	💭四ノ宮透華
はえとりかづら	💭蝿取かづら
はとおかここ	💭鳩岡小恋
ひじりぐれいる	💭聖グレイル
ひめるち	💭雛芽るち
ふでそめしき	💭筆染四季
ほうしょうてあ	💭宝生てあ
みかげみゆ	💭観影みゆ
みさごゆきまち	💭雎雪待
みなみあやね	💭南絢音
みーてぃあ	💭ミーティア
りいか	💭りいか
りくどうかろ	💭六道カロ
ろっどくろうりー	💭ロッド・クロウリー

! にじさんじ・コラボ等
! --------------------------------------------------------------------------------
れいんどろっぷす	🎤Rain Drops
ぷちさんじ	🌈ぷちさんじ
ふけいざい	🌈👥フ景罪
にじさんじ	🌈にじさんじ
ゆめのぐらふぃあ	💭ユメノグラフィア
すめしぐみ	🌈👥SMC組
ｓｍｃ	🌈👥SMC組
りりり	🌈👥RRR
ｒｒｒ	🌈👥RRR
っっｒ	🌈👥RRR
くろのわーる	🌈👥ChroNoiR
ｃｈろのいｒ	🌈👥ChroNoiR
あらさーらんくたい	🌈👥アラサーランク帯
いっきせいしゅっしん	🌈👥一期生出身
ゔぁるつ	🌈👥VΔLZ
おりひめぼし	🌈👥織姫星
くろしっく	🌈👥Crossick
さんばか	🌈👥さんばか
じぇーけーぐみ	🌈👥JK組
どくずほんしゃ	🌈👥ド葛本社
ないときんぐだむ	🌈👥夜王国
やおうこく	🌈👥夜王国
にじさんじぎゃるず	🌈👥にじさんじGALS
まいもとりきいち	🌈👥舞元力一
ぼいず	🌈👥VOIZ
ぷちふる	🌈👥petit fleurs
しのごの	🌈しのごの
あーことひすぴ	🌈👥あーことひすぴ
あかのそしき	🌈👥赤の組織
あかんご	🌈👥アカンゴ
いーりす	🌈👥i's
うんちきょう	🌈👥うんち教
えくれあ	🌈👥エクレア
えんじょうりゅうせいぐん	🌈👥炎上流星群
かえでとみと	🌈👥楓と美兎
きんぎんどうぽん	🌈👥金銀銅ポン
ぐりーんるーじゅ	🌈👥グリーンルージュ
くろのわちー	🌈👥くろのわちー
ぐんかん	🌈👥ぐんかん
さくゆい	🌈👥さくゆい
ずしり	🌈👥ずしり
でびりおん	🌈👥でびリオン
でびるる	🌈👥でびるる
でろんぼ	🌈👥でろンボ
とがびと	🌈👥†咎人†
すけべぐみ	🌈👥SKB部
にじさんじれじすたんす	🌈👥にじレジ
にじさんじれじすたんすかぶ	🌈👥にじレジ(株)
にじれじ	🌈👥にじレジ
にじれじかぶ	🌈👥にじレジ(株)
はれび	🌈👥晴レ日
びーじーくらぶ	🌈👥BGクラブ
ぶるーず	🌈👥ぶるーず
ふるーといとい	🌈👥フルートイトイ
べにずわいがに	🌈👥紅ズワイガニ
ぽさんけ	🌈👥ポ三家
まななつ	🌈👥まななつ
みかえる	🌈👥みかえる
めいふ	🌈👥メイフ
めっしゃーず	🌈👥メッシャーズ
やしくず	🌈👥やしくず
とりにてぃー	🌈👥▽▲TRiNITY▲▽

! YouTuber・VTuber
! --------------------------------------------------------------------------------
ぶいちゅーばー	バーチャルYouTuber
ｖつべｒ	バーチャルYouTuber
ばーちゃるゆーちゅーばー	バーチャルYouTuber
あおもりりんこ	👤青森りんこ
あさひにいな	👤朝陽にいな
あまつかりりえる	👤天使リリエル
いなばはねる	👤因幡はねる
もものゆらり	👤桃乃ゆらり
いぬやまたまき	👤犬山たまき
いまさかはくの	👤今酒ハクノ
うたいめいか	👤歌衣メイカ
かぐらめあ	👤神楽めあ
かふ	🎤花譜
きずなあい	👤キズナアイ
きまぐれくっく	👤きまぐれクック
くいずのっく	👥QuizKnock
くすのきしお	👤楠栞桜
こかんせんしえむずーん	👤股間戦士エムズーン
すずきけんぞう	👤鈴木けんぞう
ほろらいぶ	ホロライブ
みなとあくあ	👤湊あくあ
もこう	👤もこう
あるこ	👤ARu子
くりむぞん	👤クリムゾン
ほうらいてんてん	👤鳳玲天々
でんのうしょじょしろ	👤電脳少女シロ
しろ	👤電脳少女シロ
たきがみりと	👤瀧上りと
さくらかのん	👤桜愛かのん
おおぞらすばる	👤大空スバル

!	麻雀
! --------------------------------------------------------------------------------
ゆうせー	🀄ゆうせー
うおたにゆみ	🀄魚谷侑未
あさくらこうしん	🀄朝倉康心
おおいたかはる	🀄多井隆晴
さいとうごう	🀄齋藤豪
ひらさわげんき	🀄平澤元気
せんばくろの	🀄千羽黒乃
さきのもこ	🀄咲乃もこ
ざき	🀄ザキ
かもがみにゅう	🀄鴨神にゅう
まーじゃんけいさつひろー	🀄麻雀警察ひろー

!	芸能人・有名人・スポーツ
! --------------------------------------------------------------------------------
みうらかずよし	👤三浦知良
やまざとりょうた	👤山里亮太
おおさかなおみ	👤大坂なおみ

!	俳優・声優
! --------------------------------------------------------------------------------
あおいゆう	👤蒼井優
おおつかあきお	👤大塚明夫
すわべじゅんいち	👤諏訪部順一
こまつみかこ	👤小松未可子
つぼみ	👤つぼみ
とさかじゅん	👤登坂淳
はなざわかな	👤花澤香菜
かんださやか	👤神田沙也加

! SLEE
! --------------------------------------------------------------------------------
すりー	👥SLEE
ももはらみのり	👤SLEE ももはらみのり
ひくらかの	👤SLEE 氷儚かの
ひめなぎさ	👤SLEE 姫なぎさ
あかづえまりん	👤SLEE 赤杖まりん

!	歌手・アーティスト
! --------------------------------------------------------------------------------
うえはらあずみ	🎤上原あずみ
うる	🎤Uru
がーねっとくろう	🎤GARNET CROW
こまつみほ	🎤小松未歩
そうるどあうと	🎤SOUL'd OUT
りずむ	🎤RYTHEM
くらきまい	🎤倉木麻衣
からふぃな	🎤Kalafina
ふぁな	🎤fhána
ぱふゅーむ	🎤Perfume
さうんどほらいずん	🎤Sound Horizon

!	漫画家・作家
! --------------------------------------------------------------------------------
いとうらいふ	👤伊東ライフ
うえしばりいち	👤植芝理一
いわあきひとし	👤岩明均
うめさおただお	👤梅棹忠夫
えのもとなりこ	👤榎本ナリコ
きとうもひろ	👤鬼頭莫宏
なかはらちゅうや	👤中原中也
ふんぼ	👤ふんぼ
さいとうたかし	👤齋藤孝
たつきかんとく	👤たつき監督

!	アニメ・漫画
! --------------------------------------------------------------------------------
あくせるわーるど	🎥アクセル・ワールド
いせかいしょくどう	🎥異世界食堂
えすぱーまみ	🎥エスパー魔美
かぜのたにのなうしか	🎥風の谷のナウシカ
がっこうぐらし	🎥がっこうぐらし！
がて	🎥GATE 自衛隊 彼の地にて、斯く戦えり
けむりくさ	🎥ケムリクサ
げーと	🎥GATE 自衛隊 彼の地にて、斯く戦えり 
このすばらしいせかいにしゅくふくを	🎥この素晴らしい世界に祝福を
こばやしさんちのめいどらごん	🎥小林さんちのメイドラゴン
しゅたいんずげーと	🎥STEINS;GATE
しんせかいより	🎥新世界より
しんちょうゆうしゃ	🎥慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～
じょうかまちのだんでらいおん	🎥城下町のダンデライオン
すずみやはるひのゆううつ	🎥涼宮ハルヒの憂鬱
ぜつえんのてんぺすと	🎥絶園のテンペスト
そーどあーとおんらいん	🎥ソードアート・オンライン
たてのゆうしゃのなりあがり	🎥盾の勇者の成り上がり
だんべるなんきろもてる	🎥ダンベル何キロ持てる？
てんくううのしろらぴゅた	🎥天空の城ラピュタ
てんせいしたらすらいむだったけん	🎥転生したらスライムだった件
でみちゃんはかたりたい	🎥亜人ちゃんは語りたい
へゔぃーおぶじぇくと	🎥ヘヴィーオブジェクト
ほおづきのれいてつ	🎥鬼灯の冷徹
ぼくらの	🎥ぼくらの
まじょのたっきゅうびん	🎥魔女の宅急便
まほうしょうじょいくせいけいかく	🎥魔法少女育成計画
めいたんていこなん	🎥名探偵コナン
めいどいんあびす	🎥メイドインアビス
もーれつぱいれーつ	🎥モーレツ宇宙海賊
ようじょせんき	🎥幼女戦記
らくだいきしのきゃばるりぃ	🎥落第騎士の英雄譚
りぜろからはじめるいせかいせいかつ	🎥Re：ゼロから始める異世界生活
ろぐほらいずん	🎥ログ・ホライズン
ろっかのゆうしゃ	🎥六花の勇者
ろみおのあおいそら	🎥ロミオの青い空
ゔぁいおれっと・えゔぁーがーでん	🎥ヴァイオレット・エヴァーガーデン
ひょうか	🎥氷菓
はいとげんそうのぐりむがる	🎥灰と幻想のグリムガル

!	ゲーム
! --------------------------------------------------------------------------------
あとみくろっぷす	🎮Atomicrops
あぺｘ	🎮Apex Legends
あーく	🎮Ark
えいぺっくす	🎮Apex Legends
かぜのたにのなうしか	🎮風の谷のナウシカ
かんこれ	🎮艦これ
くらふとぴあ	🎮Craftopia
じゃんたま	🎮雀魂
すれいざすぱいあ	🎮Slay the Spire
せかいじゅのめいきゅう	🎮世界樹の迷宮
てらりあ	🎮Terraria
てんほう	🎮天鳳
でとろいとびかむひゅーまん	🎮Detroit Become Human
どうぶつのもり	🎮どうぶつの森
ふぉーるがいず	🎮Fall Guys
ぽけっともんすたー	🎮ポケットモンスター
まいんくらふと	🎮Minecraft
まーじゃん	🎮麻雀
りんぐふぃっとあどべんちゃー	🎮Ring Fit Adventure
あいどるますたーしゃいにーからーず	🎮シャニマス
しゃいます	🎮シャニマス
ｓｌｙてぇｓぴれ	🎮Slay the Spire
すぷらとぅーん	🎮Splatoon
すーぱーまりお	🎮スーパーマリオ
あいどるますたー	🎮アイドルマスター
めだろっと	🎮メダロット
ぶれいぶりーでふぉると	🎮ブレイブリーデフ…
せかいのあそびたいぜん	🎮世界のアソビ大全
すまぶら	🎮スマブラ

!	キャラクター
! --------------------------------------------------------------------------------
あかぎ	⚓赤城
おおい	⚓大井
きたかみ	⚓北上
しぐれ	⚓時雨
しまかぜ	⚓島風
やまと	⚓大和
ゆううだち	⚓夕立
みうらあずさ	👤三浦あずさ
おとなしことり	👤音無小鳥
ふたみあみ	👤双海亜美
あまみはるか	👤天海春香
きさらぎちはや	👤如月千早
あきづきりつこ	👤秋月律子
ほしいみき	👤星井美希
みなせいおり	👤水瀬伊織
はぎわらゆきほ	👤萩原雪歩


!	本/CDのタイトル
! --------------------------------------------------------------------------------
こんてなものがたり	📚コンテナ物語
しなすたじあ	💿シナスタジア
それゆけがっきゅういいんちょう	💿それゆけ! 学級委員長
ちてきせいさんのぎじゅつ	📚知的生産の技術
にじさんじいらすとれーしょん	📚NIJISANJI Illustrations vol.1
ぷりずまてぃっくからーず	💿Prismatic Colors
むーん	💿Moon!!
すまっしゅざぺいんと	💿SMASH The PAINT!!
おんとろじー	💿オントロジー

! 企業・サービス
! --------------------------------------------------------------------------------
あすーす	🏢ASUS
あすｓ	🏢ASUS
あまぞん	🌐Amazon
あまぞんぷらいむ	🌐AmazonPrime
あまぷら	🌐AmazonPrime
いちからかぶしきがいしゃ	🏢いちから株式会社
うぃきぺぢあ	🌐Wikipedia
うぃきぺでぃあ	🌐Wikipedia
うぇぶさーびす	🌐Webサービス
うぇｂさーびす	🌐Webサービス
おーぷんれっく	🌐OPENREC
かばーかぶしきがいしゃ	🏢カバー株式会社
きぎょう	🏢企業
きょうとあにめーしょん	🏢京都アニメーション
ぎてゅｂ	🌐Github
しゃーぷ	🏢シャープ
しょーるーむ	🌐SHOWROOM
しょｗろおｍ	🌐SHOWROOM
ついったー	🌐Twitter
ついっち	🌐Twitch
でぃーえぬえー	🏢DeNa
とぃｔｃｈ	🌐Twitch
にこにこ	🌐niconico
にんてんどう	🏢任天堂
はてなぶっくまーく	🌐はてなブックマーク
ぴぃｖ	🌐Pixiv
ぴくしぶ	🌐Pixiv
ふぁんだむ	🌐Fandom
ふぁんだｍ	🌐Fandom
まいくろそふと	🏢Microsoft
みらてぃぶ	🌐Mirrative
みｃろそｆｔ	🏢Microsoft
やふー	🏢ヤフー
ゆうつべ	🌐YouTube
ゆーちゅら	🌐ユーチュラ
ゆーちゅーぶ	🌐YouTube
ようつべ	🌐YouTube
のて	🌐note
のーと	🌐note
google	🌐Google
ぐーぐる	🌐Google
いんｓたｇらｍ	🌐Instagram
いんすたぐらむ	🌐Instagram
てぃっくとっく	🌐TikTok
ちｃとｋ	🌐TikTok

! 技術用語
! --------------------------------------------------------------------------------
あい	⌨AI
あいてぃあーきてくちゃ	⌨ITアーキテクチャ
あぱっちうぇぶさーばー	⌨Apache Web Server
あぴ	⌨API
あｗｓ	⌨AWS
いちんふら	⌨ITインフラ
いｔあーきてくちゃ	⌨ITアーキテクチャ
うぇぶぎじゅつ	⌨Web技術
うぇｂぎじゅつ	⌨Web技術
えいちてぃてぃぴー	⌨HTTP
えすきゅーえる	⌨SQL
えんじにあ	⌨エンジニア
えーあい	⌨AI
えーだぶりゅーえす	⌨AWS
えーぴーあい	⌨API
おっｓ	⌨OSS
おーえすえす	⌨OSS
おーぷんそーすらいせんす	⌨Open Source License
かいはつしゅほう	⌨開発手法
かいはつりふぁれんす	⌨開発リファレンス
きかいがくしゅう	⌨機械学習
ぎっとはぶ	🌐Github
くらうどぎじゅつ	⌨クラウド技術
ぐらふきゅーえる	⌨GraphQL
ごげんご	⌨Go言語
ごーげんご	⌨Go言語
さーくるしーあい	⌨CircleCI
しいあいしいでぃー	⌨CI CD
しぜんげんごしょり	⌨自然言語処理
しんそうがくしゅう	⌨深層学習
しーあいしーでぃー	⌨CI CD
しーえすえす	⌨CSS
じゃばすくりぷと	⌨JavaScript
じゃゔぁｓｃりｐｔ	⌨JavaScript
しすてむせっけい	⌨システム設計
せっけい	⌨システム設計
じょぶかんりしすてむ	⌨ジョブ管理システム
たいぷすくりぷと	⌨TypeScript
てすとしゅほう	⌨ソフトウェアテスト
ばーじょんかんり	⌨バージョン管理
ぱいそん	⌨Python
ぷろぐらみんぐ	⌨プログラミング
まーくだうん	⌨Markdown
もじこーど	⌨文字コード
らいせんす	⌨Open Source License
るびい	⌨Ruby
るびー	⌨Ruby
るびーおんれいるず	⌨Ruby on Rails
るｂｙ	⌨Ruby
れいるす	⌨Ruby on Rails
れいるず	⌨Ruby on Rails
ｃっｓ	⌨CSS
ｈっｔｐ	⌨HTTP
ｐｈｐ	⌨PHP
ｐｙてょｎ	⌨Python
ｓｑｌ	⌨SQL
ようつべだたあぴ	⌨Youtube Data API
ゆーちゅーぶでーたえーぴーあい	⌨Youtube Data API
ぐーぐるでーたえくすぽーと	⌨Google Data Export
googleだたえｘぽｒｔ	⌨Google Data Export


! お仕事
! --------------------------------------------------------------------------------
あーるぴーえー	💼RPA
ぎょうむこうりつか	💼業務効率化
しごとじゅつ	💼仕事術
しごとろん	💼仕事論
じょうほうせきゅりてぃ	💼情報セキュリティ
じんじ	💼人事
せいさんせいこうじょう	💼生産性向上
たすくかんり	💼タスク管理
ちーむびるでぃんぐ	💼チームビルディング
でぃーえっくす	💼DX
でんしさいん	💼電子サイン
ぷれぜんじゅつ	💼プレゼン術
ぷれぜんてーしょん	💼プレゼン術
ぷろじぇくとかんり	💼プロジェクト管理
まーけてぃんぐ	💼マーケティング
りもーとわーく	💼リモートワーク
りーがるてっく	💼LegalTech
ｄｘ	💼DX
ｈｒてｃｈ	💼HrTech
ｒぱ	💼RPA
そしきろん	💼組織論
こみゅにけーしょん	💼コミュニケーション
どきゅめんてーしょん	💼文書管理
ぶんしょかんり	💼文書管理

! 動画ジャンル
! --------------------------------------------------------------------------------	
あｓｍｒ	ASMR
えーえすえむあーる	ASMR
きりぬきどうが	✂切り抜き動画
こうさくどうが	🔧工作動画
りょうりどうが	👩‍🍳調理動画
ちょうりどうが	👩‍🍳調理動画
おえかきどうが	🎨お絵かき動画
げーむじっきょうどうが	🎮ゲーム実況動画
ろうどくどうが	📖朗読
きりぬきチャンネル	✂切り抜きチャンネル
ざつだんどうが	🗣雑談動画
ラジオ	🗣ラジオ
すいみんどうにゅう	🛏睡眠導入動画

! 🎓学問テーマ
! --------------------------------------------------------------------------------
いｔきょういく	🎓IT教育
えいごがくしゅう	🎓英語学習
げんごがく	🎓言語学
こくさいけいざいほう	🎓国際経済法
しゃかいろん	🎓文化論・社会論
せいじ	🎓歴史・政治
そふとうぇあこうがく	🎓ソフトウェア工学
びじゅつ	🎓美術
ぶんかろん	🎓文化論・社会論
ぶんかろん・しゃかいろん	🎓文化論・社会論
ぼき	🎓簿記
れきし	🎓歴史・政治
れきし・せいじ	🎓歴史・政治
けいざいがく	🎓経済学
ばいおてくのろじー	🎓バイオテクノロジー

!  汎用
! --------------------------------------------------------------------------------
いどう	🚪移動
かいもの	🛒買い物
こらむ	コラム
じんめい	🍀人名
そふとうぇあ	ソフトウェア
たんごきじ	🍀えとなくりむそん
たんごきじ	🍀単語記事
ついったー	💬つぶやき
つぶやき	💬つぶやき
とぃってｒ	💬つぶやき
とうけいでーた	統計データ
とうこうまとめ	📋投稿まとめ
にゅーす	📰ニュース
ねた	🤣ネタ
ぷれすりりーす	📰プレスリリース
へぇ	💡へぇ
まとめ	📋投稿まとめ

! 食べ物系
! --------------------------------------------------------------------------------
しょくひん	🍙食べ物・飲み物
こんちゅうしょく	🦗昆虫食
おやつ	🍬おかし
おかし	🍬おかし

! インターネット・Web
! --------------------------------------------------------------------------------
くらうどそーしんぐ	クラウドソーシング
ぷっしゅつうち	プッシュ通知
いんたーねっとぶんか	インターネット文化
うぇぶせいさく	Web制作
うぇｂでざいん	Webデザイン
ぶろぐうんえい	ブログ運営

!  興味・趣味
! --------------------------------------------------------------------------------
あこーでぃおんおんがく	🎧アコーディオン音楽
あにめ	アニメ
あろまてらぴー	アロマテラピー
ぃふぇふぁｃｋ	LifeHack
いらすと	🎨イラスト
うたどうが	🎧歌動画
えいせいかんりしゃ	衛生管理者
えむりーぐ	Mリーグ
えんそうどうが	🎧演奏動画
おかね	💰お金
おとそざい	音素材
おーしーあーる	OCR
おーでぃおきき	🎧オーディオ機器
おｃｒ	OCR
かばーそんぐ	🎧カバーソング
かんぜんえいようしょく	完全栄養食
かーどげーむ	🎮カードゲーム
がめ	🎮ゲーム
きょういく	教育・育児
けるとおんがく	🎧ケルト音楽
けんてい	資格・検定
けーぶる	ケーブル
げーむ	🎮ゲーム
こみけ	コミケ
こんかつ	婚活
こーひー	☕コーヒー
しかくけんてい	資格・検定
しかくしけん	資格・検定
しゅうのう	収納
しょせき	📓書籍
しょひょう	📓書評
しーでぃー	💿CD
すぽーつ	スポーツ
すまどら	💊スマドラ
そざい	素材
そっき	速記
たべもの	🍙食べ物・飲み物
たべもの・のみもの	🍙食べ物・飲み物
でざいん	デザイン
でばいす	デバイス
のみもの	🍙食べ物・飲み物
びーじーえむ	🎧BGM
ふぉんと	フォント
ぶんしょうじゅつ	文章術
ぶんぼうぐ	文房具
へるすけあ	💪ヘルスケア
ぼーどげーむ	🎮ボードゲーム
まんが	📓漫画
もじおこし	文字起こし
